track_name,artist,genre,play_count,danceability,energy,valence,tempo
Be Alright,Ariana Grande,Pop,5,0.506,0.397,0.544,124.8
La flaca,Jarabe De Palo,Other,11,0.396,0.447,0.502,107.5
Countdown To Extinction,Megadeth,Metal,4,0.705,0.247,0.394,124.8
Best Day Of My Life,Tom Odell,Other,3,0.252,0.651,0.352,97.6
Are You In?,Incubus,Other,8,0.526,0.587,0.364,93.986
You,Radiohead,Alternative Rock,5,0.545,0.918,0.218,138.4
I Will Remember,TOTO,Other,3,0.862,0.675,0.969,113.2
Blackout,The Arkitecht,Other,4,0.502,0.176,0.683,82.8
Un Poco Perdido,Tan Bionica,Other,3,0.795,0.922,0.024,123.7
In A Little While,U2,Other,4,0.778,0.385,0.522,121.9
Another Day in Paradise - 2016 Remaster,Phil Collins,Other,14,0.382,0.851,0.745,121.6
Truth Be Told - 2019 - Remaster,Megadeth,Metal,3,0.8,0.599,0.705,121.4
Monarch,Soen,Other,4,0.589,0.591,0.74,139.7
Red Hands,The Dear Hunter,Progressive Rock,8,0.409,0.718,0.427,130.2
Shadow on the Sun,Audioslave,Other,9,0.256,0.855,0.314,127.6
Kerosene Dreams,X Ambassadors,Pop Rock,8,0.821,0.264,0.481,86.2
Down,blink-182,Punk Rock,10,0.892,0.345,0.78,89.2
These Colours Don't Run,Iron Maiden,Metal,3,0.792,0.603,0.538,123.6
Secret Sciences,Devin Townsend Project,Other,5,0.318,0.623,0.678,119.6
Synops,Karnivool,Other,3,0.868,0.685,0.839,150.8
Dystopian Overture,Dream Theater,Progressive Metal,15,0.462,0.782,0.594,120.1
Set Me On Fire,Flyleaf,Other,3,0.733,0.333,0.552,87.9
Daylight,Maroon 5,Pop Rock,24,0.343,0.216,0.827,94.9
In Memory,Shinedown,Hard Rock,39,0.351,0.299,0.423,87.2
My Michelle,Guns N' Roses,Classic Rock,7,0.622,0.215,0.327,128.8
Tom Sawyer,Rush,Progressive Rock,4,0.228,0.375,0.48,97.8
Your Body Is a Battleground,Delain,Other,4,0.543,0.856,0.21,130.9
Brooklyn Baby,Lana Del Rey,Pop,3,0.657,0.262,0.641,144.9
Something About Us,Daft Punk,Electronic,4,0.635,0.623,0.257,109.0
Free,Michael Jackson,Pop,9,0.533,0.326,0.858,172.4
Cactus,Gustavo Cerati,Latin Rock,6,0.513,0.289,0.188,120.8
In Limbo,Radiohead,Alternative Rock,3,0.696,0.264,0.586,144.2
Secrets,OneRepublic,Pop Rock,7,0.516,0.764,0.376,148.021
The Remembering (High the Memory) - 2003 Remaster,Yes,Progressive Rock,13,0.196,0.536,0.638,141.0
Para Ser,Eruca Sativa,Latin Rock,6,0.493,0.499,0.961,145.9
Forgotten Faces,Avenged Sevenfold,Hard Rock,4,0.4,0.594,0.196,164.6
When I'm Sixty Four - Remastered 2009,The Beatles,Classic Rock,11,0.704,0.241,0.661,140.411
Blue Jeans - Remastered 2011,Lana Del Rey,Pop,3,0.636,0.379,0.899,112.1
En el Borde,Soda Stereo,Latin Rock,18,0.821,0.533,0.326,151.0
When I'm Gone,3 Doors Down,Other,13,0.454,0.219,0.502,126.3
Bad Habit,Ben Platt,Pop,3,0.337,0.554,0.422,120.0
Leaving My Love Behind,Lewis Capaldi,Other,4,0.813,0.225,0.594,96.0
My Secret Friend,IAMX,Electronic,25,0.91,0.615,0.659,109.2
Speechless,Michael Jackson,Pop,3,0.288,0.593,0.485,83.1
Dulcinea,Closure in Moscow,Other,6,0.483,0.24,0.507,132.0
Closer,Kings of Leon,Other,8,0.402,0.581,0.661,114.7
Disillusioned,A Perfect Circle,Other,16,0.579,0.882,0.503,128.1
Herd Culling,Porcupine Tree,Progressive Rock,8,0.552,0.218,0.456,122.3
Track by Track Audio - Bonus,The Rasmus,Alternative Rock,6,0.786,0.295,0.515,113.4
Second Heartbeat - Live,Avenged Sevenfold,Hard Rock,4,0.236,0.176,0.702,126.2
In The Shadows - Radio Edit,The Rasmus,Alternative Rock,16,0.285,0.042,0.269,114.7
Patience,Guns N' Roses,Classic Rock,8,0.457,0.297,0.333,120.021
The Court Of The Crimson King,King Crimson,Other,3,0.799,0.385,0.362,116.5
Bride,Amplifier,Other,4,0.123,0.295,0.694,145.1
Leader of the Band,Mike Massé,Other,3,0.884,0.193,0.653,114.0
If I Never See Your Face Again - Swizz Beatz Remix,Maroon 5,Pop Rock,5,0.426,0.458,0.301,133.5
GET UP,Shinedown,Hard Rock,28,0.22,0.333,0.911,123.6
La Hora de los Pajaros,Perez,Other,3,0.283,0.27,0.605,124.6
Crystal Ball,Keane,Other,10,0.753,0.261,0.286,129.8
Beat It,Michael Jackson,Pop,32,0.371,0.549,0.257,88.8
Eye Of The Beholder,Metallica,Metal,4,0.922,0.36,0.686,152.0
The Best Is yet to Come - MTV Unplugged,Scorpions,Other,18,0.954,0.687,0.444,117.6
Slither,Opeth,Progressive Metal,5,0.072,0.501,0.451,117.1
In the Shadows,The Rasmus,Alternative Rock,6,0.704,0.561,0.414,89.3
Secret Smile,Semisonic,Other,3,0.097,0.375,0.438,89.7
Dangerous Woman,Ariana Grande,Pop,6,0.312,0.283,0.783,94.6
Break Me Down,Alter Bridge,Hard Rock,6,0.556,0.341,0.926,65.5
"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto",Antonio Vivaldi,Other,4,0.274,0.883,0.227,142.2
Keep It Dark - Remaster 2007,Genesis,Progressive Rock,5,0.745,0.246,0.763,145.1
Final Frontier,Thomas Bergersen,Soundtrack,7,0.23,0.591,0.084,107.6
La Compañera,Las Voces Blancas,Other,3,0.917,0.777,0.406,122.1
Stalking Carl,John Williams,Soundtrack,4,0.173,0.529,0.761,131.3
No Twilight Within the Courts of the Sun,Steven Wilson,Progressive Rock,27,0.379,0.739,0.717,121.0
My Heart Is Open,Maroon 5,Pop Rock,32,0.247,0.192,0.232,119.8
Earthrise,Haken,Progressive Metal,34,0.965,0.169,0.927,119.4
Primordial Sound,The Contortionist,Other,13,0.576,0.626,0.141,129.3
It's My Life,No Doubt,Other,24,0.24,0.194,0.432,143.3
Wildest Dreams (Taylor's Version),Taylor Swift,Pop,7,0.086,0.498,0.502,89.7
Can’t Help It,Soul Asylum,Other,4,0.551,0.296,0.285,61.5
Fly Away,Lenny Kravitz,Classic Rock,83,0.576,0.718,0.147,79.4
Happier,Boyce Avenue,Pop Rock,3,0.799,0.59,0.797,177.6
Pigs on the Wing 2,Pink Floyd,Progressive Rock,3,0.596,0.17,0.486,128.585
New Day,Karnivool,Other,25,0.499,0.286,0.904,147.8
Penumbra,Aeon Zen,Other,4,0.16,0.833,0.219,109.5
Dirección contraria,Adara,Other,5,0.521,0.438,0.171,131.2
Look What You Made Me Do,Taylor Swift,Pop,13,0.519,0.738,0.506,87.8
Satellite,Nickelback,Other,6,0.755,0.724,0.417,122.1
My Heart Is Open,Maroon 5,Pop Rock,39,0.782,0.685,0.518,133.1
Brand New,Pharrell Williams,Other,10,0.33,0.596,0.726,109.0
MAKE TOTAL DESTROY,Periphery,Other,6,0.341,0.59,0.381,115.0
Voice of Treason - Live,Opeth,Progressive Metal,3,0.277,0.861,0.242,102.0
Linger,The Cranberries,Other,3,0.504,0.675,0.338,132.5
Plastik Soul,Abigail's Ghost,Other,3,0.095,0.883,0.358,174.2
Blue Orchid,The White Stripes,Other,5,0.647,0.64,0.87,126.6
Sober,Lorde,Pop,5,0.527,0.525,0.273,75.5
Illusive Consensus,Epica,Symphonic Metal,7,0.612,0.406,0.953,150.8
Interlude 1,Miley Cyrus,Pop,3,0.786,0.289,0.71,112.9
Ten Black Roses,The Rasmus,Alternative Rock,25,0.358,0.689,0.822,114.1
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,Hard Rock,54,0.516,0.884,0.448,107.96
Kick Start My Heart,Great White,Other,3,0.604,0.178,0.762,111.7
decay,Nessa Barrett,Pop,3,0.356,0.392,0.579,98.5
Paradigm,Avenged Sevenfold,Hard Rock,53,0.183,0.593,0.255,86.5
Nada de Lo Que Vendrá (Prueba y Error),Mauro Conforti & La Vida Marciana,Other,4,0.578,0.995,0.383,121.6
A Window to the Past,John Williams,Soundtrack,3,0.639,0.813,0.723,122.8
Disappointed,Nine Inch Nails,Other,5,0.108,0.257,0.356,60.0
El amor después del amor,Fito Paez,Latin Rock,77,0.738,0.38,0.417,115.7
Ciudad De Pobres Corazones,Fito Paez,Latin Rock,13,0.554,0.356,0.371,137.1
The Good Doctor,Haken,Progressive Metal,3,0.648,0.636,0.368,163.7
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Other,3,0.199,0.711,0.761,121.4
Slave to the Grind,Skid Row,Other,3,0.738,0.577,0.284,112.1
Stuck,Thirty Seconds To Mars,Alternative Rock,11,0.163,0.566,0.718,101.7
Agujas - En Vivo,Eruca Sativa,Latin Rock,4,0.092,0.814,0.307,116.3
Break In,Halestorm,Other,7,0.197,0.595,0.452,93.7
My God Is The Sun,Queens of the Stone Age,Other,4,0.089,0.672,0.846,75.0
Turn to Stone,Electric Light Orchestra,Other,7,0.488,0.262,0.634,142.5
SkyWorld,Thomas Bergersen,Soundtrack,6,0.537,0.422,0.18,96.4
Sad But True,Metallica,Metal,21,0.633,0.846,0.448,89.23
Walls Of Jericho,Fair To Midland,Other,3,0.605,0.572,0.498,74.4
It's Not My Time,3 Doors Down,Other,7,0.541,0.583,0.307,115.0
Devour,Shinedown,Hard Rock,14,0.79,0.444,0.405,124.8
Find The Real,Alter Bridge,Hard Rock,13,0.193,0.635,0.433,159.3
Without You I'm Nothing,Placebo,Alternative Rock,5,0.217,0.047,0.263,120.9
#Addicted,Riverside,Other,25,0.274,0.606,0.528,119.1
Army,Ellie Goulding,Other,4,0.274,0.484,0.594,84.7
The Game of Life,Scorpions,Other,7,0.296,0.568,0.502,103.1
Radioactive,Imagine Dragons,Pop Rock,13,0.696,0.566,0.143,139.6
Cold Cold Cold,Cage The Elephant,Alternative Rock,10,0.549,0.789,0.715,136.125
"Abandoned, Pleased, Brainwashed, Exploited",Sonata Arctica,Power Metal,5,0.591,0.784,0.433,129.0
"Nocturne in E-Flat Major, Op. 55, No. 2",Frédéric Chopin,Classical,3,0.372,0.734,0.256,90.0
It's Alright For You - Remastered 2003,The Police,Other,6,0.861,0.191,0.813,98.9
Cancion Sobre Cancion,Fito Paez,Latin Rock,6,0.445,0.702,0.508,106.8
Dead Inside,Muse,Alternative Rock,12,0.604,0.748,0.363,131.9
The Other Side,Sirenia,Other,3,0.923,0.725,0.396,111.7
More Than a Feeling,Boston,Other,12,0.377,0.681,0.285,108.789
Hands All Over,Maroon 5,Pop Rock,31,0.629,0.438,0.624,108.4
Boys Don't Cry,The Cure,Other,12,0.462,0.836,0.671,168.766
Backlash - Acoustic Bonus Track,10 Years,Other,3,0.587,0.588,0.45,86.5
Landmine,Three Days Grace,Hard Rock,31,0.557,0.509,0.688,111.5
El cantante - En directo 2005,Andrés Calamaro,Other,3,0.097,0.31,0.35,101.7
Puttin' On The Ritz,Robbie Williams,Pop Rock,15,0.453,0.597,0.778,100.5
The Same Asylum As Before,Steven Wilson,Progressive Rock,29,0.371,0.397,0.68,149.0
Welcome To The Universe,Thirty Seconds To Mars,Alternative Rock,16,0.197,0.114,0.193,115.0
Buffalo Soldier,Bob Marley & The Wailers,Other,3,0.469,0.592,0.756,143.6
Live Forever,The Rasmus,Alternative Rock,16,0.391,0.692,0.448,115.4
Untitled #3 - Samskeyti,Sigur Rós,Other,6,0.188,0.341,0.751,165.9
Poker Face,Lady Gaga,Pop,3,0.707,0.616,0.667,128.0
Comanche,In This Moment,Metal,15,0.419,0.265,0.467,96.8
Runaway,Ed Sheeran,Pop,39,0.266,0.522,0.348,126.7
Sunglasses At Night,Corey Hart,Other,3,0.686,0.609,0.719,127.736
Show Me How to Live,Audioslave,Other,99,0.433,0.854,0.368,89.4
Pride (In The Name Of Love),U2,Other,7,0.393,0.362,0.554,149.7
Wait,Maroon 5,Pop Rock,3,0.235,0.21,0.655,127.9
Paranoid Android - Remastered,Radiohead,Alternative Rock,10,0.456,0.209,0.225,123.3
Halo,Soil,Other,3,0.529,0.92,0.438,111.132
Opening,Philip Glass,Other,3,0.584,0.69,0.519,145.0
Losing My Religion,System Syn,Other,8,0.458,0.292,0.398,117.2
"Scar On The Sky - Recorded Live At Keswick Theatre, Glenside, PA on April 10, 2011",Chris Cornell,Grunge,23,0.382,0.472,0.767,122.2
Kill Bill,SZA,Other,6,0.261,0.505,0.454,86.0
Undergrowth,Caligula's Horse,Other,4,0.636,0.31,0.409,111.6
Walk,Avenged Sevenfold,Hard Rock,7,0.7,0.17,0.509,90.6
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,Rush,Progressive Rock,4,0.204,0.138,0.612,170.0
Counting Stars,OneRepublic,Pop Rock,22,0.663,0.705,0.477,122.014
Don’t Blame Me,Taylor Swift,Pop,26,0.615,0.534,0.193,135.917
The Great Shipwreck Of Life,IAMX,Electronic,5,0.769,0.447,0.592,110.2
Desert Song,Edward Sharpe & The Magnetic Zeros,Other,3,0.741,0.695,0.167,137.1
Field Day (Part 2),Bruce Soord,Other,3,0.847,0.562,0.277,89.8
Under the Milky Way,The Church,Other,6,0.479,0.31,0.102,150.5
"Scene Eight: The Spirit Carries On (with the Octavarium Orchestra) - Live at Radio City Music Hall, New York City, NY, 4/1/2006",Dream Theater,Progressive Metal,4,0.945,0.908,0.072,101.9
This Afternoon,Nickelback,Other,3,0.507,0.875,0.647,160.079
my boy,Billie Eilish,Pop,63,0.692,0.394,0.324,89.936
"I Walk Beside You (with the Octavarium Orchestra) - Live at Radio City Music Hall, New York City, NY, 4/1/2006",Dream Theater,Progressive Metal,5,0.465,0.638,0.344,113.2
Elegantly Wasted,INXS,Other,3,0.347,0.55,0.269,118.3
Cable A Tierra,Fito Paez,Latin Rock,7,0.683,0.717,0.875,108.2
"Recess (with Kill The Noise, Fatman Scoop, and Michael Angelakos)",Skrillex,Electronic,10,0.62,0.218,0.746,199.9
The Beginning and the End,Anathema,Other,29,0.366,0.737,0.25,88.5
Clint Eastwood,Gorillaz,Other,6,0.663,0.694,0.525,167.953
Don't Let Me Down - Recorded at Spotify Studios NYC,Dirty Heads,Other,3,0.37,0.268,0.732,103.3
El salmón - Jamón del medio,Andrés Calamaro,Other,5,0.701,0.817,0.806,114.5
Nemo,Nightwish,Symphonic Metal,7,0.247,0.706,0.675,171.9
Blue Monday - 2016 Remaster,New Order,Other,11,0.08,0.653,0.676,163.5
Keep Talking - 2001 Remastered Version,Pink Floyd,Progressive Rock,3,0.542,0.706,0.368,164.4
The Rover,Interpol,Indie Rock,9,0.529,0.322,0.36,112.5
Petrichor,Keaton Henson,Other,4,0.385,0.589,0.343,137.4
Follow Me Down,The Pretty Reckless,Other,10,0.458,0.851,0.28,165.5
Souvenir,Korn,Metal,3,0.646,0.559,0.853,121.3
Cut the Cord,Shinedown,Hard Rock,36,0.561,0.724,0.31,109.5
Black Milk,Massive Attack,Other,3,0.56,0.455,0.44,168.081
Team,Lorde,Pop,10,0.588,0.503,0.722,140.3
Punch Me I Bleed,Children Of Bodom,Metal,8,0.688,0.183,0.278,129.3
Rehenes,Andrés Calamaro,Other,5,0.078,0.574,0.547,112.8
Are We Dreaming?,Dream Theater,Progressive Metal,11,0.369,0.489,0.728,108.4
Murder By Numbers - Remastered 2003,The Police,Other,3,0.331,0.705,0.716,114.0
We Are What We Are,Sonata Arctica,Power Metal,8,0.365,0.636,0.381,82.5
Just Like You,Three Days Grace,Hard Rock,5,0.922,0.62,0.22,137.1
Saved,The Dear Hunter,Progressive Rock,7,0.348,0.877,0.566,85.6
Dos días en la vida,Fito Paez,Latin Rock,41,0.427,0.572,0.362,89.7
The Fear,Pulp,Other,3,0.493,0.897,0.733,118.1
Muddy Feet (feat. Sia),Miley Cyrus,Pop,5,0.099,0.304,0.371,125.0
Unopened,Sonata Arctica,Power Metal,4,0.215,0.583,0.612,115.3
Angel Of Small Death & The Codeine Scene,Hozier,Other,3,0.377,0.638,0.369,92.644
Enemies,Shinedown,Hard Rock,125,0.507,0.966,0.502,136.035
Somewhere Only We Know,Keane,Other,96,0.448,0.665,0.304,172.004
London Town,Fito Paez,Latin Rock,4,0.882,0.275,0.61,110.2
Kill The Lights,The Birthday Massacre,Other,3,0.442,0.662,0.494,93.6
Ulysses,Franz Ferdinand,Indie Rock,7,0.128,0.3,0.415,144.3
Muchacha (Ojos de Papel),Almendra,Other,3,0.545,0.652,0.461,119.2
Spirits In The Material World,The Police,Other,3,0.358,0.201,0.203,89.0
Bread And Circuses,Tomorrow's Eve,Other,3,0.733,0.363,0.131,132.5
Coming for You,The Offspring,Punk Rock,3,0.644,0.525,0.681,159.3
Thomas,A Perfect Circle,Other,8,0.861,0.106,0.736,124.4
Parallel Universe,Red Hot Chili Peppers,Alternative Rock,6,0.557,0.686,0.454,127.7
Hearts / Wires,Deftones,Alternative Metal,21,0.569,0.149,0.688,79.1
We Don't Need Another Hero,Northern Kings,Other,8,0.081,0.477,0.899,116.2
Vivo,Gustavo Cerati,Latin Rock,3,0.4,0.714,0.513,99.7
Ace of Aces,The Fearless Flyers,Other,5,0.196,0.482,0.47,111.5
Intro - Live from Wembley Stadium,Muse,Alternative Rock,17,0.844,0.418,0.271,126.5
Under Your Tree,Sonata Arctica,Power Metal,21,0.866,0.685,0.341,135.3
Re-Wired,Kasabian,Indie Rock,3,0.272,0.438,0.332,60.0
Lo Que Sangra (La Cúpula) - Remasterizado 2007,Soda Stereo,Latin Rock,42,0.5,0.345,0.716,121.2
One Year Of Love - Remastered 2011,Queen,Classic Rock,18,0.742,0.39,0.582,111.1
Afterglow,Taylor Swift,Pop,7,0.424,0.799,0.725,98.1
MyBoi - TroyBoi Remix,Billie Eilish,Pop,11,0.367,0.169,0.464,60.5
Heaven,Julia Michaels,Other,4,0.552,0.371,0.245,199.843
Break Free,Ariana Grande,Pop,27,0.683,0.251,0.14,95.5
Embryonic,Riverside,Other,4,0.167,0.363,0.511,128.1
Deutschland,Rammstein,Other,3,0.521,0.895,0.237,120.117
Widowmakers,Abigail's Ghost,Other,30,0.657,0.64,0.369,124.9
Cochise,Audioslave,Other,41,0.452,0.873,0.433,80.473
needy,Ariana Grande,Pop,36,0.681,0.464,0.578,97.4
Angel Of Small Death & The Codeine Scene,Hozier,Other,3,0.466,0.092,0.29,166.2
The Dark Side (Alternate Reality Version) [Instrumental] - Alternate Reality Version; Instrumental,Muse,Alternative Rock,4,0.407,0.557,0.683,103.5
Us and Them,Pink Floyd,Progressive Rock,25,0.357,0.302,0.135,72.518
Evenstar,Howard Shore,Soundtrack,9,0.076,0.184,0.258,111.3
Dancing With Your Ghost,Sasha Alex Sloan,Other,3,0.629,0.328,0.389,74.953
Six Ribbons,Green Carnation,Other,6,0.716,0.218,0.358,156.8
Stranger,The Rasmus,Alternative Rock,54,0.58,0.775,0.461,104.8
Lazarus (2015 Recording),Steven Wilson,Progressive Rock,18,0.691,0.346,0.506,131.1
Per Aspera Ad Inferi - Commentary Version,Ghost,Other,3,0.29,0.613,0.788,108.9
Lost and Lonely,The Rasmus,Alternative Rock,3,0.491,0.628,0.852,138.5
She Is My Sin,Nightwish,Symphonic Metal,7,0.189,0.629,0.418,99.5
El Mendigo En El Andén,Serú Girán,Other,7,0.499,0.091,0.58,105.0
The Waves,Bjørn Riis,Other,4,0.229,0.406,0.494,148.8
Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics,Other,25,0.692,0.711,0.875,125.135
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Other,15,0.692,0.711,0.875,125.135
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Miley Cyrus,Pop,4,0.15,0.584,0.306,139.0
Girl,The Dear Hunter,Progressive Rock,25,0.066,0.696,0.402,81.5
Colors,Halsey,Other,3,0.512,0.812,0.521,100.02
Pure Morning,Placebo,Alternative Rock,34,0.694,0.306,0.53,186.0
Todo Lo Posible,Connor Questa,Latin Rock,4,0.466,0.903,0.292,124.1
Give Me Novacaine / She's a Rebel,Green Day,Punk Rock,4,0.766,0.583,0.233,157.3
Another One Bites The Dust - Live At Wembley Stadium / July 1986,Queen,Classic Rock,9,0.61,0.3,0.311,150.3
Don't Hate Me,Steven Wilson,Progressive Rock,9,0.814,0.277,0.007,106.8
Juliet,Sonata Arctica,Power Metal,9,0.392,0.632,0.869,124.4
Anomaly,Angels & Airwaves,Other,3,0.502,0.578,0.605,95.9
Sharp Dressed Man - 2008 Remaster,ZZ Top,Other,10,0.601,0.859,0.446,125.145
What If I Was Nothing,All That Remains,Other,4,0.283,0.487,0.511,104.3
Stranger Inside - Live,Shinedown,Hard Rock,30,0.761,0.72,0.723,142.4
Jueves,La Oreja de Van Gogh,Other,5,0.137,0.808,0.519,129.9
Losing My Mind - Non-LP Version,Maroon 5,Pop Rock,20,0.681,0.783,0.558,113.6
Writing on the Wall,Anekdoten,Other,5,0.67,0.421,0.71,113.9
Apple Tree,AURORA,Other,3,0.448,0.224,0.654,60.0
The Trial,Pink Floyd,Progressive Rock,7,0.414,0.37,0.33,76.846
Satellite,Rise Against,Punk Rock,6,0.358,0.824,0.763,122.8
"Murder Song (5, 4, 3, 2, 1)",AURORA,Other,9,0.745,0.28,0.615,92.3
6:00,Dream Theater,Progressive Metal,30,0.464,0.585,0.465,86.6
Fly With The Black Swan,Sonata Arctica,Power Metal,12,0.4,0.507,0.779,128.3
Roller Coaster,blink-182,Punk Rock,3,0.334,0.48,0.667,138.3
Malibu,Miley Cyrus,Pop,11,0.508,0.484,0.736,117.7
Diamant,Rammstein,Other,4,0.347,0.272,0.122,140.506
Real Love - From the John Lewis Christmas Advert 2014,Tom Odell,Other,10,0.301,0.238,0.714,152.9
Pale Shelter - Long Version,Tears For Fears,Other,4,0.504,0.201,0.646,108.9
"Build Me Up, Break Me Down",Dream Theater,Progressive Metal,20,0.778,0.683,0.724,85.3
Simple Girl - Instrumental,IAMX,Electronic,3,0.225,0.23,0.259,156.4
Serial Heartbreaker,FLETCHER,Other,10,0.587,0.873,0.52,169.971
The Bitter End,Sum 41,Punk Rock,7,0.506,0.339,0.433,110.4
Cough Syrup,Young the Giant,Other,4,0.534,0.721,0.225,128.978
Close Your Eyes,Anathema,Other,5,0.239,0.481,0.3,133.2
We Created a Monster,David Hewson,Other,4,0.265,0.531,0.475,81.5
King Of Pain,The Police,Other,4,0.216,0.423,0.213,119.1
Amaryllis,Shinedown,Hard Rock,87,0.446,0.754,0.234,85.7
I Want My Tears Back,Nightwish,Symphonic Metal,14,0.511,0.453,0.528,118.1
Closer To The Edge,Thirty Seconds To Mars,Alternative Rock,50,0.377,0.593,0.525,98.6
Chris-Talin,Sergio Puccini,Other,3,0.154,0.234,0.188,116.4
Waiting for the Night,Depeche Mode,Electronic,4,0.427,0.333,0.475,164.2
Insects,10 Years,Other,3,0.362,0.4,0.657,117.9
Can't Stand Losing You,The Police,Other,16,0.492,0.797,0.499,100.9
Lonely,Imagine Dragons,Pop Rock,13,0.187,0.151,0.267,88.2
Lonely Day,System Of A Down,Metal,48,0.47,0.796,0.215,113.108
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Classical,39,0.442,0.00919,0.0929,79.314
Follow Me Down,The Pretty Reckless,Other,7,0.692,0.275,0.562,73.7
Sovereign Light Café (Afrojack vs. Keane) - Afrojack Remix,Keane,Other,14,0.765,0.578,0.18,125.7
Alta suciedad - Pura sangre,Andrés Calamaro,Other,3,0.646,0.53,0.26,112.6
Goodbye Hooray,Red Hot Chili Peppers,Alternative Rock,3,0.517,0.839,0.227,116.8
Rnw@y (Backyard Bangers Reanimation) [feat. Phoenix Orion],Linkin Park,Alternative Rock,3,0.602,0.921,0.545,108.692
Rusted From the Rain,Billy Talent,Other,3,0.734,0.596,0.623,74.3
The A Team,Ed Sheeran,Pop,10,0.526,0.359,0.666,148.1
Papercut,Linkin Park,Alternative Rock,45,0.524,0.939,0.661,150.184
I'll Be The One,Comet Blue,Other,5,0.261,0.844,0.386,114.2
Bloom,Caligula's Horse,Other,45,0.562,0.389,0.504,76.4
Keep Your Heart Broken,The Rasmus,Alternative Rock,16,0.817,0.578,0.372,113.3
Careless Whisper,Unwoman,Other,5,0.477,0.463,0.349,161.9
Let Love Be Your Energy,Robbie Williams,Pop Rock,7,0.716,0.161,0.22,115.0
Welcome 2 My World,Cold,Other,3,0.278,0.407,0.585,171.4
Ppr:kut (Cheapshot and Jubacca Reanimation) [feat. Rasco and Planet Asia],Linkin Park,Alternative Rock,4,0.565,0.897,0.601,150.356
No Time for Caution,Hans Zimmer,Soundtrack,3,0.701,0.91,0.757,85.2
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,Other,5,0.186,0.793,0.366,103.8
Gangsta,Kehlani,Other,22,0.435,0.656,0.354,131.3
"That I Never Had - Live at Budokan Hall, Tokyo, Japan - February 2002",Ozzy Osbourne,Other,3,0.45,0.607,0.481,87.4
Draw Me,Sonata Arctica,Power Metal,9,0.568,0.465,0.735,89.2
Lunfardo,Astor Piazzolla,Other,3,0.247,0.717,0.963,136.0
Pretty Woman,Robbie Williams,Pop Rock,4,0.729,0.175,0.536,98.1
The Source (Rediscovered),The Contortionist,Other,14,0.477,0.452,0.766,127.1
Lull - Remastered,Radiohead,Alternative Rock,5,0.441,0.468,0.417,100.4
Untouchable (Part 1) - Live,Anathema,Other,5,0.82,0.329,0.187,139.9
Sense of Fear,The Pineapple Thief,Progressive Rock,6,0.885,0.856,0.569,116.0
Need The Sun To Break,James Bay,Pop,5,0.799,0.24,0.769,101.1
Dream of Stone,Gazpacho,Other,3,0.213,0.429,0.577,141.4
Start of Time,Gabrielle Aplin,Other,17,0.453,0.461,0.0844,106.84
Goddamn I'm Dead Again,Sum 41,Punk Rock,14,0.567,0.226,0.448,174.2
Lounge Act - Boombox Rehearsals,Nirvana,Grunge,4,0.502,0.384,0.635,157.8
Quicksand Jesus,Skid Row,Other,80,0.317,0.463,0.635,89.0
Bitter Sweet Symphony,The Verve,Other,7,0.278,0.591,0.353,112.6
I'll Be Over You,TOTO,Other,7,0.828,0.454,0.637,135.0
After This War,Masterplan,Other,3,0.923,0.969,0.268,96.0
Under the Pillow,Riverside,Other,4,0.436,0.959,0.277,170.8
Rats,Ghost,Other,40,0.502,0.367,0.959,141.3
Maldición Va a Ser un Día Hermoso,Patricio Rey y sus Redonditos de Ricota,Latin Rock,6,0.335,0.688,0.872,134.4
"While Your Lips Are Still Red - Theme from the Movie ""Lieksa!""",Nightwish,Symphonic Metal,3,0.235,0.519,0.837,100.5
Ballad Of Big Nothing - Remastered 2017,Elliott Smith,Indie Rock,7,0.583,0.333,0.432,110.4
Down Under,Men At Work,Other,3,0.42,0.803,0.547,116.0
hostage,Billie Eilish,Pop,74,0.754,0.182,0.776,127.3
Salamanqueando Pa' Mi,Luciano Pereyra,Other,5,0.205,0.208,0.805,75.5
Not Far from the Sky,Sylvan,Other,28,0.849,0.532,0.314,94.4
I Know What I Like (In Your Wardrobe) - Remastered 2008,Genesis,Progressive Rock,23,0.63,0.582,0.354,130.6
Take Me Down - Remastered 2012,The Smashing Pumpkins,Alternative Rock,5,0.61,0.398,0.392,110.1
This Is The Time (Ballast),NOTHING MORE,Other,3,0.451,0.529,0.834,141.0
It's Probably Me,Sting,Other,6,0.398,0.275,0.163,126.1
Névé,Chronologist,Other,5,0.196,0.108,0.631,144.9
Take No Prisoners - 2004 Remix,Megadeth,Metal,16,0.869,0.466,0.73,124.3
Payphone,Maroon 5,Pop Rock,113,0.743,0.752,0.545,110.015
Where Do We Draw the Line,Poets of the Fall,Alternative Rock,29,0.861,0.314,0.946,160.6
